topology,components,nodes,cr_time_mean_s,cr_time_std_s,cr_migrations_mean,cr_migrations_std,base_time_mean_s,base_time_std_s,base_migrations_mean,base_migrations_std
IAG,50,500,0.211,0.009,20.886,3.996,0.204,0.009,42.143,4.112
IAG,50,750,0.273,0.007,20.938,4.296,0.187,0.004,42.127,3.999
IAG,50,1000,0.327,0.009,20.838,4.195,0.201,0.005,42.08,4.165
IAG,100,500,0.27,0.013,44.14,6.186,0.271,0.008,87.931,6.604
IAG,100,750,0.337,0.019,44.249,6.048,0.322,0.01,87.974,6.339
IAG,100,1000,0.414,0.03,44.35,6.348,0.383,0.023,88.259,6.11
IAG,200,500,0.454,0.038,92.51,8.713,0.714,0.025,181.964,10.298
IAG,200,750,0.604,0.054,92.198,8.789,0.92,0.034,182.097,9.308
IAG,200,1000,0.741,0.071,91.581,8.271,1.188,0.097,182.634,9.475
IAG,300,500,0.818,0.088,140.832,10.729,1.579,0.056,277.72,12.7
IAG,300,750,1.078,0.113,139.522,10.219,2.054,0.068,277.581,11.594
IAG,300,1000,1.354,0.143,139.506,10.71,2.544,0.121,278.272,12.114
IAG,400,500,1.3,0.131,188.924,12.145,3.048,0.278,374.522,14.375
IAG,400,750,1.78,0.204,188.031,12.811,3.724,0.111,373.698,13.695
IAG,400,1000,2.167,0.224,187.057,12.679,4.575,0.153,374.429,14.3
ER,50,500,0.21,0.012,20.897,4.302,0.199,0.014,42.096,4.048
ER,50,750,0.28,0.013,20.991,4.143,0.19,0.006,41.979,4.119
ER,50,1000,0.327,0.015,21.107,4.146,0.204,0.007,42.104,4.154
ER,100,500,0.27,0.016,44.805,6.916,0.274,0.009,88.092,6.199
ER,100,750,0.333,0.022,44.616,5.452,0.343,0.027,87.787,6.349
ER,100,1000,0.409,0.03,44.165,6.127,0.378,0.015,88.071,6.015
ER,200,500,0.461,0.041,92.5,8.545,0.734,0.046,182.425,9.005
ER,200,750,0.594,0.059,91.765,8.797,0.925,0.034,181.574,9.397
ER,200,1000,0.76,0.078,91.918,8.882,1.131,0.046,181.817,9.808
ER,300,500,0.788,0.08,139.832,10.973,1.564,0.055,277.966,11.257
ER,300,750,1.056,0.101,139.734,9.859,2.049,0.067,277.167,12.334
ER,300,1000,1.326,0.138,141.064,10.974,2.493,0.087,277.095,13.039
ER,400,500,1.311,0.146,188.43,12.867,3.093,0.275,374.622,13.682
ER,400,750,1.746,0.187,187.674,11.853,3.8,0.133,372.877,14.361
ER,400,1000,2.309,0.329,188.295,12.947,4.809,0.335,373.672,15.177
BA,50,500,0.214,0.012,20.925,4.315,0.206,0.006,42.118,4.312
BA,50,750,0.279,0.011,20.835,4.153,0.189,0.005,42.041,4.145
BA,50,1000,0.329,0.01,21.475,4.277,0.2,0.005,42.133,3.927
BA,100,500,0.269,0.014,44.131,6.166,0.272,0.007,88.197,6.678
BA,100,750,0.336,0.019,44.106,5.532,0.324,0.01,87.667,6.445
BA,100,1000,0.406,0.024,43.891,5.783,0.373,0.013,88.597,5.933
BA,200,500,0.48,0.053,92.839,8.545,0.718,0.028,181.869,10.277
BA,200,750,0.605,0.061,91.413,8.503,0.923,0.031,182.37,9.194
BA,200,1000,0.731,0.063,91.481,8.255,1.149,0.056,183.047,9.321
BA,300,500,0.788,0.076,140.955,10.506,1.665,0.146,277.698,12.699
BA,300,750,1.056,0.104,139.469,10.648,2.038,0.071,277.39,11.649
BA,300,1000,1.308,0.127,139.325,10.772,2.722,0.304,277.556,12.237
BA,400,500,1.308,0.14,188.893,12.135,3.003,0.15,374.451,14.417
BA,400,750,1.723,0.175,188.125,12.839,4.111,0.434,373.698,13.7
BA,400,1000,2.188,0.24,187.031,12.736,4.606,0.171,374.573,14.375
